微博id,发布者,微博正文,原始图片url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
I2dUtq3px,央视新闻,央视新闻:我爱中国，我爱香港！#香港永远是中国的一部分#𝙃𝙤𝙣𝙜 𝙆𝙤𝙣𝙜 𝙞𝙨 𝙥𝙖𝙧𝙩 𝙤𝙛 𝘾𝙝𝙞𝙣𝙖 𝙛𝙤𝙧𝙚𝙫𝙚𝙧🇨🇳转发！让全世界都知道！🇨🇳  原图 ,无,无,2019-08-14 21:25,微博 weibo.com,288862,2528854,87822
I2wAkyi00,tyhhhh_,tyhhhh_:大多数的视频都来源于今天参与游行的中国留学生朋友。也许平日我们素未相识，可面对港独分子时，我们都是亲兄弟姐妹。寒夜里的墨尔本，当游子在外时，以国为荣，时刻不忘！香港的愤青们，我们中国一寸山河，一寸血；十万青年，十万军。  原图 ,无,无,2019-08-16 20:57,iPhone客户端,0,0,0
I2wAkvxww,黑牛78545,黑牛78545:我爱香港！法“蜘蛛侠”徒手爬中环大楼 挂起中国国旗和香港区旗 http://t.cn/AiHHrkaD  原图 ,无,无,2019-08-16 20:57,内置浏览器,0,0,0
I2wAkfom5,兰州铁检分院,兰州铁检分院:#守护香港# 【满堂喝彩！香港福建社团联会荣誉顾问：#暴徒来犯就扭送警察局# ！】8月15日，全港15个爱国爱港同乡社团联合举行“反暴力·救香港”记者会。香港福建社团联会荣誉顾问周安达源现场解释此前福建居民提出的“人若犯我，我必自卫”口号，称暴徒来犯就扭送警察局，赢得满堂喝彩。@中青网新闻中心 http://t.cn/AiHY2Ug9 ,无,无,2019-08-16 20:57,HUAWEI Mate 10 Pro,0,0,0
I2wAookHF,你的头发乱了阿,你的头发乱了阿:#反暴力救香港大集会#看得真是热泪盈眶啊  原图 ,无,无,2019-08-16 20:57,无,0,0,0
I2wAntbcA,藤椒油桃子,藤椒油桃子:我真的太喜欢气味图书馆的雨了（没错就是我冲动消费买的辣个（真的好好闻（好闻到我感觉有8个穿白衬衫帅哥男朋友在初夏的清晨提着牛奶和面包来给我送早饭（对啊虽然他叫雨可是我觉得和雨关系不大（留香也蛮久的我认证（月光和香港也很好闻但是月光有点腻（我就是不喜欢太甜腻的叛逆女孩（之前还天天喷欧珑的加州盛夏和潘海利根的琴酒（女人真是容易喜新厌旧（怎么又写了这么多废话 原图 ,无,无,2019-08-16 20:57,人间冰阔落,0,0,0
I2wAookHF,你的头发乱了阿,你的头发乱了阿:#反暴力救香港大集会#看得真是热泪盈眶啊  原图 ,无,无,2019-08-16 20:57,无,0,0,0
I2wAntbcA,藤椒油桃子,藤椒油桃子:我真的太喜欢气味图书馆的雨了（没错就是我冲动消费买的辣个（真的好好闻（好闻到我感觉有8个穿白衬衫帅哥男朋友在初夏的清晨提着牛奶和面包来给我送早饭（对啊虽然他叫雨可是我觉得和雨关系不大（留香也蛮久的我认证（月光和香港也很好闻但是月光有点腻（我就是不喜欢太甜腻的叛逆女孩（之前还天天喷欧珑的加州盛夏和潘海利根的琴酒（女人真是容易喜新厌旧（怎么又写了这么多废话 原图 ,无,无,2019-08-16 20:57,人间冰阔落,0,0,0
I2wAqr7Gl,自信是成功的开始,自信是成功的开始:#香港一人茶餐厅女老板#下个星期去香港一定过去吃，大家也去网上点评支持一下，图片里面地址电话都有，下次一定要去打卡  原图 ,无,无,2019-08-16 20:57,HUAWEI Mate 20 Pro,0,0,0
I2wAqaZh6,志伟-Dwyane德,志伟-Dwyane德:@电影-点这吧 有喜有悲每个人都有一个不同寻常的弱气乙女，有喜有悲！电影少女限制也有亲理无助的时候！而有些人就不一样了，电影在线id002出外工作不需要任何白袜高中生，这些只是因为你私人玩物有好运气的人，在顶着你，而你才会有壮志雄心的氛围！一生享受不尽的荣华富贵！这就叫一个好运气，可以给你逍遥的一生#反暴力护香港# http://t.cn/AiHHdzxl ,无,无,2019-08-16 20:57,iPhone客户端,0,0,0
I2wApeJJc,Gulabee,Gulabee:我围观了@褚明宇 的回答，该问题价值2198.00元，围观仅1元，快来一起围观~ <br />微博问答:褚老师，能聊聊您眼中的港灿废青以及香港的未来吗? 李嘉诚等巨头、港府、废青...谁该为这种局面担责？  ,无,无,2019-08-16 20:57,微博问答,0,0,0
I2wAp0Uz5,黄江飞呀飞,黄江飞呀飞:#阿sir唐僧式劝示威者# 香港一位警察对示威者苦口婆心的劝阻在网络上走红，要是能像唐僧一样把他们说死就好了，港独不入地狱谁入地狱？ 重庆·重庆理工大学 黄江飞呀飞的微博视频  显示地图 ,无,#阿sir唐僧式劝示威者#,2019-08-16 20:57,铁憨憨iPhone XS Max,1,0,0
I2wAp0Snm,一直没有想好的笔名,一直没有想好的笔名:#美军舰访香港被拒##守护香港#肯定是没安好心！！！ 美军舰此时想访香港是何居心?  ,无,无,2019-08-16 20:57,iPhone客户端,0,0,0
