微博id,微博正文,原始图片url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
I2u6Fz4N7,【#清华校长开学寄语# 2019级本科新生】在#清华大学本科生开学典礼# 上，邱勇校长说：生命因融入浩荡历史而永不凋谢，个人因投身伟大事业而被永远铭记。同学们，希望你们顺应历史潮流，不负伟大时代，从历史文化中汲取奋斗力量、拓展胸襟视野、确立崇高信仰。挂云帆，踏万古江河；济沧海，铸不朽人生！ #开学季# 邱勇在清华2019级本科生开学典礼上的讲话：踏万古江河  铸不朽人生  清华大学的微博视频                                 ,无,无,2019-08-16 14:39 ,搜狗高速浏览器,715,115,64
I2w3Qr9M9,【#你好九字班# 新雅书院九字班来啦】“渊博雅正  器识为先  追求卓越  传承创新”8月14日，新雅迎来了九字班新生。除了学长学姐热情的迎接，新雅小机器人也在宿舍楼里迎新🤖邱勇校长寄语新雅新生，“希望同学们今后努力把个人的意义与清华的意义、国家的意义融合在一起，你们的未来将是无限。相信你们都读了《万古江河》，到历史的长河中去寻找意义，我们送同学们这本书有这个涵义；另外就是要有文化追求，追求精神上的东西，这也是我们新雅书院的培养目标中很重要的一点。”（图文：新雅书院）             [组图共9张]      原图                             ,"http://ww3.sinaimg.cn/large/63ea9369ly1g61qawfa68j20u00jfn0b.jpg,http://ww4.sinaimg.cn/large/63ea9369ly1g61qawo8umj20u00k6adv.jpg,http://ww1.sinaimg.cn/large/63ea9369ly1g61qaww5mxj20u00k0775.jpg,http://ww1.sinaimg.cn/large/63ea9369ly1g61qax2vmpj20u00k0tcs.jpg,http://ww2.sinaimg.cn/large/63ea9369ly1g61qaxxce2j20ro0im416.jpg,http://ww4.sinaimg.cn/large/63ea9369ly1g61qax8bzlj20sn0is76m.jpg,http://ww1.sinaimg.cn/large/63ea9369ly1g61qaxpuk9j20tu0kjdhr.jpg,http://ww3.sinaimg.cn/large/63ea9369ly1g61qaxdbjrj20on0hqaca.jpg,http://ww1.sinaimg.cn/large/63ea9369ly1g61qaxk5z9j20u00k076z.jpg",无,2019-08-16 19:38,无,447,19,53
I2uM8miRJ,#你好九字班# 8月15日下午，清华大学2019级新生代表座谈会在工字厅召开。邱勇校长来到16位本科新生中间，倾听同学们的美好憧憬，畅谈对新同学的殷殷期盼。邱勇说，人生是一个持续攀登的过程，每一步都要付出努力，每一层都有新的风景，越到后来代价越大，但风景也会更加绮丽。随着地理位置的升高，我们的自身境界、修为和人生价值也在不断提升。这正是108岁的清华毫无沧桑之感，依然展现出少年心态的原因。http://t.cn/AiHYft5z             [组图共5张]      原图                             ,"http://ww3.sinaimg.cn/large/63ea9369ly1g61lf5f61hj20ii0dntpd.jpg,http://ww3.sinaimg.cn/large/63ea9369ly1g61lfdglc2j20i20b4jxk.jpg,http://ww4.sinaimg.cn/large/63ea9369ly1g61lf56e75j20ig0czk8h.jpg,http://ww2.sinaimg.cn/large/63ea9369ly1g61lf52i2mj20i20b47cx.jpg,http://ww4.sinaimg.cn/large/63ea9369ly1g61lf52nwej20i20b4dol.jpg",无,2019-08-16 16:21 ,专业版微博,416,24,31
I2tFIgjF4,【那些年我们的“故事”】暑假快要结束了，久违的同学们、校友们又相聚到了一起，从读书、科研聊到恋爱、工作……还有，#我和我的祖国# （图文：清华小五爷园）  [组图共9张] 原图 ,"http://ww4.sinaimg.cn/large/63ea9369ly1g61gihzckuj20u02bvtha.jpg,http://ww2.sinaimg.cn/large/63ea9369ly1g61h069fvvj20u02ctzsm.jpg,http://ww2.sinaimg.cn/large/63ea9369ly1g61giixeyvj20u02cgdo1.jpg,http://ww1.sinaimg.cn/large/63ea9369ly1g61gik9ni0j20u02c0119.jpg,http://ww4.sinaimg.cn/large/63ea9369ly1g61gikkoz5j20u02c3jzu.jpg,http://ww1.sinaimg.cn/large/63ea9369ly1g61gikvbsuj20u02bsahg.jpg,http://ww4.sinaimg.cn/large/63ea9369ly1g61gil9fe5j20u02cd10w.jpg,http://ww4.sinaimg.cn/large/63ea9369ly1g61gilpkz7j20u02cwdnx.jpg,http://ww3.sinaimg.cn/large/63ea9369ly1g61gim76fsj20mh6dxqs2.jpg",无,2019-08-16 13:33,无,574,64,46
I2tk4r1VQ,#科研速递# 8月15日，由清华大学地球系统科学系张强教授课题组和加州大学尔湾分校史蒂文·戴维斯（Steven J. Davis）副教授组成的国际联合研究团队在《自然》期刊发表题为《现有能源基础设施锁定排放威胁1.5℃气候目标》的论文，首次全面评估了现有和拟建能源基础设施的“碳锁定”效应，指出现存的高碳设备锁定排放将严重威胁1.5℃温控目标，以及全球向低碳社会转型的紧迫性。http://t.cn/AiHlUTnB                  原图                             ,http://wx1.sinaimg.cn/large/63ea9369ly1g61f0pr08vj20in0cvq7s.jpg,无,2019-08-16 12:39 ,搜狗高速浏览器,198,8,13
I2teP5pGc,8月12日，清华大学兼职教授、战略与安全研究中心主任傅莹出席第六届全国对外传播理论研讨会，并作了题为《传播是人与人的对话》的大会发言。傅莹认为，传播说到底是做人的工作，是人与人的对话和交流。讲中国故事，首先是讲好中国人的故事，真实的故事最有说服力。有时一个小故事就可以说明白大道理，不是每个传播都需要宏大叙事。我们的故事是讲给人听的，内容中要有人，有普通人的喜怒哀乐。http://t.cn/AiHlZo4j                  原图                             ,http://wx4.sinaimg.cn/large/63ea9369ly1g61enaphqpj20i20b4451.jpg,无,2019-08-16 12:26 ,搜狗高速浏览器,222,11,7
I2nbWBUcb,【清华举行2019级本科新生亲友交流会】8月14日，2019级本科新生入学报到，当天下午“学在清华”新生亲友交流会如期召开。清华大学副教务长、教务处处长李俊峰，学生处处长白本锋面向新生亲友，围绕人才培养、育人理念等作了两场别开生面的报告。千余名新生亲友们如约而至，在这里进一步了解清华的本科生教育。（采写：李晨晖）             [组图共3张]      原图                             ,"http://ww1.sinaimg.cn/large/63ea9369ly1g60nx0ctqej20u01iu7ay.jpg,http://ww4.sinaimg.cn/large/63ea9369ly1g60nwzwsxej20u01niwlz.jpg,http://ww2.sinaimg.cn/large/63ea9369ly1g60nx0xx3mj20u01s0tix.jpg",无,2019-08-15 21:03,无,393,11,18
I2n7O6V5Y,错过了#北京彩虹# 却在园子里看到了惊艳的#北京闪电# ⚡️#随手拍清华# （伊丽 摄） 清华大学的微博视频  ,无,无,2019-08-15 20:53,无,21065,1057,1316
I2mochiRr,【清华体育代表队，我们来报到啦！】8月14日，清华大学迎来了3800余名2019级本科新生。清华大学体育代表队也设置了迎新报到点，贴心地为每位新生准备了体育代表队纪念品和学生手册等，并为新队员在队旗下合影留念，留下宝贵的入学记忆。据悉，在代表队新生中，共有A类队新生19名，B类队新生19名。#无体育 不清华##你好九字班# （图文：清华大学体育代表队）             [组图共9张]      原图                             ,"http://ww4.sinaimg.cn/large/63ea9369ly1g60k70c2pyj20u00k0dio.jpg,http://ww3.sinaimg.cn/large/63ea9369ly1g60k6ya2c7j20u00k0ju7.jpg,http://ww3.sinaimg.cn/large/63ea9369ly1g60k6z7tu5j20u00k0whf.jpg,http://ww2.sinaimg.cn/large/63ea9369ly1g60k6yqucjj20u00k0mzz.jpg,http://ww3.sinaimg.cn/large/63ea9369ly1g60k70tetcj20u00k0die.jpg,http://ww2.sinaimg.cn/large/63ea9369ly1g60k6zufp5j20u00k0gog.jpg,http://ww1.sinaimg.cn/large/63ea9369ly1g60k74jv2xj20u00k041u.jpg,http://ww4.sinaimg.cn/large/63ea9369ly1g60k73x595j20u00k0adq.jpg,http://ww3.sinaimg.cn/large/63ea9369ly1g60k74vc1vj20u00k077b.jpg",无,2019-08-15 19:00,无,1114,27,64
I2lFOB2CD,【清华本科新生董佳林：在奋斗中成就未来】在2019年#清华大学本科生开学典礼# 上，来自电子信息大类的董佳林作为新生代表发言，他说，考上清华，是我们值得骄傲一生的事。但这份骄傲的来源，绝不止只是在清华上过学的经历，而应该是我们未来四年中收获的知识、能力和肩负使命、追求卓越的精神。清华新生代表董佳林：在奋斗中成就未来 #开学季# （视频：清华电视台） 清华大学的微博视频                                 ,无,无,2019-08-15 17:11,专业版微博,1718,145,127
